case_id,year,court,case_type,bail_amount_inr,days_to_bail_order
1,2021,District Court - North,Assault,18400,20
2,2021,District Court - West,Theft,4600,17
3,2021,District Court - North,Cyber Offence,36200,8
4,2021,District Court - Central,NDPS,19100,13
5,2021,District Court - Central,Cheating,5000,12
6,2021,District Court - Central,Cheating,14600,33
7,2021,District Court - North,Cyber Offence,11800,38
8,2021,District Court - East,Public Nuisance,16900,23
9,2021,District Court - West,Theft,18400,5
10,2021,District Court - West,Cyber Offence,22800,5
11,2021,District Court - North,Cyber Offence,11400,12
12,2021,District Court - North,Domestic Dispute,15500,38
13,2021,District Court - Central,Public Nuisance,18100,28
14,2021,District Court - West,Cyber Offence,31200,33
15,2021,District Court - West,Cheating,10700,11
16,2021,District Court - North,Public Nuisance,8900,25
17,2021,District Court - West,Assault,9700,28
18,2021,District Court - Central,Cyber Offence,9500,23
19,2021,District Court - North,Theft,51700,15
20,2021,District Court - South,NDPS,10700,9
21,2021,District Court - East,Assault,17100,11
22,2021,District Court - Central,Cyber Offence,22900,35
23,2021,District Court - East,Public Nuisance,8600,32
24,2021,District Court - West,Public Nuisance,14600,44
25,2021,District Court - Central,Theft,9100,17
26,2021,District Court - West,Cheating,21500,2
27,2021,District Court - Central,Assault,12800,37
28,2021,District Court - North,Assault,7100,40
29,2021,District Court - East,Cyber Offence,15700,3
30,2021,District Court - North,Cyber Offence,21900,11
31,2021,District Court - South,Cyber Offence,15400,21
32,2021,District Court - North,Theft,13500,27
33,2021,District Court - South,Cyber Offence,10500,24
34,2021,District Court - South,Cheating,7400,6
35,2021,District Court - Central,Assault,21200,36
36,2021,District Court - South,Theft,15200,5
37,2021,District Court - South,Cyber Offence,14600,15
38,2021,District Court - East,Theft,14800,6
39,2021,District Court - West,Cyber Offence,13100,19
40,2021,District Court - East,Cheating,9600,17
41,2021,District Court - East,Domestic Dispute,13200,28
42,2021,District Court - North,Cyber Offence,56700,20
43,2021,District Court - Central,Assault,27200,22
44,2021,District Court - West,Theft,16100,16
45,2021,District Court - Central,Theft,8600,20
46,2021,District Court - West,Cheating,16700,20
47,2021,District Court - East,Public Nuisance,41800,5
48,2021,District Court - South,Theft,8900,42
49,2021,District Court - Central,Public Nuisance,21200,34
50,2021,District Court - North,Assault,19400,9
51,2021,District Court - East,Cheating,9800,35
52,2021,District Court - North,Theft,6500,24
53,2021,District Court - Central,Domestic Dispute,21700,39
54,2021,District Court - North,Theft,15500,44
55,2021,District Court - North,Domestic Dispute,17000,5
56,2021,District Court - North,Assault,5400,5
57,2021,District Court - West,Domestic Dispute,10600,40
58,2021,District Court - East,NDPS,16700,44
