Sr. No.,Round No.,Period,State,Age,Gender,Average Monthly Income,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead, View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,Income Generating Agricultural Land
228,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Remained The Same,Will Decrease,,,<1%,,<1%,,No
229,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,2,Daily Worker,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,6-<7%,,No
230,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Daily Worker,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Remain The Same,Remained The Same,Will Increase,Decreased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased More Than Last Year,,2-<3%,,<1%,,No
231,23,May-2026,Andhra Pradesh,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,1 or 2,1,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Decreased,Will Decrease,Remained The Same,Will Decrease,,,<1%,,<1%,,No
232,23,May-2026,Andhra Pradesh,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Decrease,Decreased,Will Decrease,Increased,Remain The Same,Price Increased More Than Last Year,,5-<6%,,<1%,,No
233,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,1 or 2,1,Daily Worker,Remained The Same,Will Improve,Improved,Remain The Same,Decreased,Will Decrease,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Decrease,Remained The Same,Will Decrease,,,<1%,,<1%,,No
234,23,May-2026,Andhra Pradesh,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,3 or 4,1,Daily Worker,Improved,Will Improve,Improved,Will Improve,Decreased,Will Increase,Decreased,Will Decrease,Decreased,Will Decrease,Decreased,Will Decrease,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,3-<4%,,No
235,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Illiterate,3 or 4,1,Homemaker,Remained The Same,Will Improve,Improved,Will Improve,Decreased,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,5-<6%,,Yes
265,23,May-2026,Andhra Pradesh,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,2,Homemaker,Improved,Will Worsen,Worsened,Will Worsen,Increased,Will Decrease,Increased,Will Decrease,Increased,Will Decrease,Increased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,2-<3%,,4-<5%,,No
266,23,May-2026,Andhra Pradesh,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,1 or 2,1,Homemaker,Remained The Same,Will Worsen,Remained The Same,Will Worsen,Decreased,Will Decrease,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,9-<10%,,No
